Province_State,Confirmed,Deaths
Alabama,9668,390
Alaska,378,10
American Samoa,0,0
Arizona,10960,532
Arkansas,3747,88
California,66558,2687
Colorado,19375,967
Connecticut,32984,2932
Delaware,6277,221
Diamond Princess,49,0
District of Columbia,6102,311
Florida,40001,1715
Georgia,32588,1403
Grand Princess,103,3
Guam,151,5
Hawaii,631,17
Idaho,2205,67
Illinois,76085,3349
Indiana,23732,1490
Iowa,11671,252
Kansas,6829,174
Kentucky,6440,304
Louisiana,31417,2267
Maine,1408,64
Maryland,31534,1614
Massachusetts,76743,4840
Michigan,46815,4530
Minnesota,10790,558
Mississippi,9378,421
Missouri,9911,494
Montana,458,16
Nebraska,8093,90
Nevada,6171,313
New Hampshire,3011,131
New Jersey,137397,9116
New Mexico,4778,191
New York,333122,26612
North Carolina,14478,551
North Dakota,1464,35
Northern Mariana Islands,16,2
Ohio,23697,1331
Oklahoma,4490,270
Oregon,3160,127
Pennsylvania,58560,3779
Puerto Rico,2173,108
Rhode Island,10989,418
South Carolina,7531,330
South Dakota,3393,34
Tennessee,14768,242
Texas,38394,1066
Utah,6103,66
Vermont,921,53
Virgin Islands,68,4
Virginia,23196,827
Washington,16674,921
West Virginia,1323,52
Wisconsin,9939,398
Wyoming,653,7
